TRADEDATE,fac_TOPEN,fac_THIGH,fac_TLOW,fac_TCLOSE,TVOLUME
2001-01-18 00:00:00.000,858.8176,882.1868,858.8176,870.5022,5365900
2001-01-19 00:00:00.000,876.3445,881.0183,871.6706,875.1760,6223600
2001-02-05 00:00:00.000,876.3445,882.1868,850.0541,852.3911,2441500
2001-02-06 00:00:00.000,852.3911,864.6599,840.1222,857.6491,2210100
2001-02-07 00:00:00.000,858.2334,864.6599,847.1330,849.4699,1350800
2001-02-08 00:00:00.000,849.4699,852.9753,817.9215,825.5165,2423300
2001-02-09 00:00:00.000,826.6850,847.1330,826.6850,840.7065,2028600
2001-02-12 00:00:00.000,841.2907,847.1330,824.9323,840.7065,2302800
2001-02-13 00:00:00.000,841.8749,844.2118,835.4484,835.4484,1509200
2001-02-14 00:00:00.000,833.1115,836.6169,829.6061,830.1903,1359300
2001-02-15 00:00:00.000,834.2799,838.3695,826.1007,826.6850,1369200
2001-02-16 00:00:00.000,827.2692,829.6061,820.8427,829.0219,1673200
2001-02-19 00:00:00.000,828.4376,847.1330,824.9323,846.5488,1531900
2001-02-20 00:00:00.000,844.2118,850.6384,829.6061,833.6957,1596100
2001-02-21 00:00:00.000,832.5273,832.5273,815.0004,817.9215,3653900
2001-02-22 00:00:00.000,812.0792,817.9215,808.5738,809.7423,3442100
2001-02-23 00:00:00.000,806.2369,824.9323,806.2369,824.9323,1837400
2001-02-26 00:00:00.000,826.6850,838.9538,826.1007,830.1903,1862400
2001-02-27 00:00:00.000,832.5273,834.2799,820.8427,823.7638,2352100
2001-02-28 00:00:00.000,829.6061,829.6061,820.8427,823.1796,1485400
2001-03-01 00:00:00.000,829.6061,847.1330,823.7638,835.4484,2185600
2001-03-02 00:00:00.000,842.4592,892.7029,841.8749,879.2656,27729200
2001-03-05 00:00:00.000,882.7710,900.2979,876.9287,879.2656,18675600
2001-03-06 00:00:00.000,879.2656,883.3552,866.4126,882.1868,6002100
2001-03-07 00:00:00.000,885.1079,908.4771,882.1868,901.4663,15345900
2001-03-08 00:00:00.000,904.3875,961.6420,893.8714,945.8678,47704700
2001-03-09 00:00:00.000,946.4520,959.8893,935.9359,946.4520,31503500
2001-03-12 00:00:00.000,946.4520,951.1259,931.2621,942.3624,13888100
2001-03-13 00:00:00.000,942.3624,949.9574,928.9251,934.7674,13094600
2001-03-14 00:00:00.000,933.5990,984.4270,927.7567,969.8212,32052700
2001-03-15 00:00:00.000,970.4054,981.5058,963.9789,975.6635,19042500
2001-03-16 00:00:00.000,975.6635,993.1904,964.5632,967.4843,18400400
2001-03-19 00:00:00.000,967.4843,978.5847,955.2155,972.7424,12027900
2001-03-20 00:00:00.000,975.6635,990.2693,967.4843,975.6635,8912500
2001-03-21 00:00:00.000,976.2477,998.4485,963.9789,990.8535,19498900
2001-03-22 00:00:00.000,993.1904,999.0327,975.6635,978.5847,13828200
2001-03-23 00:00:00.000,978.5847,982.6743,937.6886,940.0255,24573700
2001-03-26 00:00:00.000,938.2728,963.9789,934.7674,954.6312,9864500
2001-03-27 00:00:00.000,963.9789,966.9001,942.3624,951.1259,7536000
2001-03-28 00:00:00.000,952.2943,961.0578,946.4520,956.9682,8172300
2001-03-29 00:00:00.000,958.1366,966.9001,949.3732,953.4628,6620200
2001-03-30 00:00:00.000,953.4628,961.0578,940.6097,947.6205,8532000
2001-04-02 00:00:00.000,949.3732,972.7424,941.7782,965.7316,8825800
2001-04-03 00:00:00.000,966.9001,970.9897,955.2155,962.2262,5646400
2001-04-04 00:00:00.000,963.9789,981.5058,935.3517,945.8678,9768200
2001-04-05 00:00:00.000,945.8678,952.8786,941.1940,952.2943,5750100
2001-04-06 00:00:00.000,961.6420,968.6528,946.4520,952.8786,4561300
2001-04-09 00:00:00.000,952.8786,958.1366,943.5309,950.5416,4328400
2001-04-10 00:00:00.000,950.5416,966.9001,950.5416,958.1366,3971000
2001-04-11 00:00:00.000,975.6635,975.6635,956.9682,963.3947,3972300
2001-04-12 00:00:00.000,963.9789,973.3266,954.0470,960.4735,7291500
2001-04-13 00:00:00.000,962.8105,991.4377,958.1366,984.4270,22294200
2001-04-16 00:00:00.000,993.1904,999.6169,981.5058,987.3481,17575400
2001-04-17 00:00:00.000,992.0219,993.1904,973.3266,979.1689,8930700
2001-04-18 00:00:00.000,972.7424,984.4270,968.0685,969.2370,8157500
2001-04-19 00:00:00.000,969.2370,969.8212,951.1259,957.5524,8604000
2001-04-20 00:00:00.000,957.5524,962.8105,945.2836,946.4520,10589100
2001-04-23 00:00:00.000,946.4520,949.3732,939.4413,942.3624,6246200
2001-04-24 00:00:00.000,943.5309,953.4628,942.3624,943.5309,4185800
2001-04-25 00:00:00.000,944.1151,952.2943,916.0721,918.4090,12347900
2001-04-26 00:00:00.000,917.2406,923.0828,905.5560,907.3086,6961900
2001-04-27 00:00:00.000,906.1402,924.2513,906.1402,914.3194,5490600
2001-04-30 00:00:00.000,914.3194,918.9932,904.3875,907.3086,3831900
2001-05-08 00:00:00.000,907.3086,914.3194,903.8033,905.5560,2647800
2001-05-09 00:00:00.000,908.4771,912.5667,905.5560,906.1402,4562700
2001-05-10 00:00:00.000,907.3086,934.7674,906.7244,916.6563,3534200
2001-05-11 00:00:00.000,917.2406,923.6671,909.0613,916.0721,2241000
2001-05-14 00:00:00.000,916.0721,931.8463,903.2190,923.0828,4203300
2001-05-15 00:00:00.000,924.2513,930.6778,909.6456,913.7352,3197900
2001-05-16 00:00:00.000,914.3194,922.4986,905.5560,920.1617,4850700
2001-05-17 00:00:00.000,920.1617,921.9144,905.5560,906.7244,3457400
2001-05-18 00:00:00.000,906.7244,908.4771,895.6241,899.1294,6972900
2001-05-21 00:00:00.000,899.1294,899.7137,886.8606,889.7818,9122200
2001-05-22 00:00:00.000,889.7818,920.1617,889.7818,902.0506,7300300
